"","pl_name","hostname","sy_snum","sy_pnum","discoverymethod","disc_year","disc_facility","pl_orbper","pl_orbsmax","pl_radj","pl_bmasse","pl_bmassj","pl_bmassprov","pl_orbeccen","pl_insol","pl_eqt","ttv_flag","st_spectype","st_teff","st_rad","st_mass","st_met","st_logg","rastr","ra","decstr","dec","sy_dist","sy_vmagerr2","sy_kmag","sy_gaiamag","pl_pubdate"
"883","TOI-431 b","TOI-431",1,3,"Transit",2021,"Transiting Exoplanet Survey Satellite (TESS)",0.490052,NA,NA,NA,NA,"",NA,NA,NA,1,"",4850,0.73,0.78,0.2,4.6,"05h33m04.62s",83.2692502,"-26d43m25.93s",-26.7238698,32.5686,-0.03,6.723,8.79171,"2023-03"
"884","TOI-431 d","TOI-431",1,3,"Transit",2021,"Transiting Exoplanet Survey Satellite (TESS)",12.4610213,NA,NA,NA,NA,"",NA,NA,NA,0,"",4850,0.73,0.78,0.2,4.6,"05h33m04.62s",83.2692502,"-26d43m25.93s",-26.7238698,32.5686,-0.03,6.723,8.79171,"2023-03"
"885","TOI-4342 b","TOI-4342",1,2,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",5.5382498,0.05251,0.202,NA,NA,"",NA,26.9,634,0,"M0 V",3901,0.6,0.63,NA,4.69,"21h37m33.46s",324.3894196,"-77d58m44.93s",-77.9791468,61.5204,-0.057,9.018,11.9822,"2023-01"
"886","TOI-4342 c","TOI-4342",1,2,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",10.688716,0.0814,0.215,NA,NA,"",NA,11.18,509,0,"M0 V",3901,0.6,0.63,NA,4.69,"21h37m33.46s",324.3894196,"-77d58m44.93s",-77.9791468,61.5204,-0.057,9.018,11.9822,"2023-01"
"887","TOI-4377 b","TOI-4377",1,1,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",4.378081,0.0579,1.348,304.16179,0.957,"Mass",0.045,NA,NA,0,"",4974,3.52,1.36,0.205,3.39,"10h59m43.79s",164.9324709,"-82d13m16.86s",-82.2213501,455.82,-0.052,9.148,11.4565,"2023-11"
"888","TOI-4406 b","TOI-4406",1,1,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",30.08364,0.201,1,95.34852,0.3,"Mass",0.15,NA,904,0,"",6219,1.29,1.19,0.1,4.29,"01h12m11.64s",18.0485164,"-56d55m31.40s",-56.9253875,261.834,-0.007,9.73,10.9545,"2023-04"
"889","TOI-444 b","TOI-444",1,1,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",17.9636,0.133,0.247,NA,NA,"",NA,NA,609,0,"K1/2 V",5225,0.78,0.96,0.08,4.64,"04h16m44.16s",64.1839982,"-26d45m59.07s",-26.7664071,57.3973,-0.03,7.832,9.6063,"2023-03"
"890","TOI-4463 A b","TOI-4463 A",2,1,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",2.8807198,0.04036,1.183,252.35576,0.794,"Mass",0,633,1395,0,"",5640,1.06,1.06,0.25,4.41,"18h37m25.95s",279.3581286,"+18d43m47.83s",18.7299522,173.117,-0.008,9.402,10.9505,"2023-03"
"891","TOI-451 c","TOI-451",2,3,"Transit",2020,"Transiting Exoplanet Survey Satellite (TESS)",9.192402,NA,NA,NA,NA,"",NA,NA,NA,0,"",5550,0.88,0.95,NA,NA,"04h11m51.93s",62.966385,"-37d56m23.03s",-37.93973,123.739,-0.008,9.19,10.7498,"2023-03"
"892","TOI-451 d","TOI-451",2,3,"Transit",2020,"Transiting Exoplanet Survey Satellite (TESS)",16.364909,NA,NA,NA,NA,"",NA,NA,NA,0,"",5550,0.88,0.95,NA,NA,"04h11m51.93s",62.966385,"-37d56m23.03s",-37.93973,123.739,-0.008,9.19,10.7498,"2023-03"
