"","pl_name","hostname","sy_snum","sy_pnum","discoverymethod","disc_year","disc_facility","pl_orbper","pl_orbsmax","pl_radj","pl_bmasse","pl_bmassj","pl_bmassprov","pl_orbeccen","pl_insol","pl_eqt","ttv_flag","st_spectype","st_teff","st_rad","st_mass","st_met","st_logg","rastr","ra","decstr","dec","sy_dist","sy_vmagerr2","sy_kmag","sy_gaiamag","pl_pubdate"
"503","KMT-2021-BLG-1770L b","KMT-2021-BLG-1770L",1,1,"Microlensing",2023,"KMTNet",NA,0.9,NA,6674.39655,21,"Mass",NA,NA,NA,0,"",NA,NA,0.13,NA,NA,"18h01m45.59s",270.4399583,"-27d25m07.21s",-27.4186694,6920,NA,NA,NA,"2023-10"
"504","KMT-2021-BLG-2010L b","KMT-2021-BLG-2010L",1,1,"Microlensing",2023,"KMTNet",NA,1.79,NA,340.0764,1.07,"Mass",NA,NA,NA,0,"",NA,NA,0.37,NA,NA,"17h52m02.04s",268.0085,"-32d16m11.10s",-32.26975,7090,NA,NA,NA,"2023-06"
"506","KMT-2021-BLG-2478L b","KMT-2021-BLG-2478L",1,1,"Microlensing",2023,"KMTNet",NA,1.85,NA,286.04557,0.9,"Mass",NA,NA,NA,0,"",NA,NA,0.2,NA,NA,"17h57m14.21s",269.3092083,"-29d06m07.09s",-29.1019694,2970,NA,NA,NA,"2023-03"
"509","KMT-2022-BLG-0371L b","KMT-2022-BLG-0371L",1,1,"Microlensing",2023,"KMTNet",NA,3.42,NA,82.63539,0.26,"Mass",NA,NA,NA,0,"",NA,NA,0.63,NA,NA,"17h41m26.86s",265.3619167,"-34d41m55.21s",-34.6986694,7140,NA,NA,NA,"2023-06"
"511","KMT-2022-BLG-0440L b","KMT-2022-BLG-0440L",1,1,"Microlensing",2023,"KMTNet",NA,4.6,NA,15.3,0.04814,"Mass",NA,NA,NA,0,"",NA,NA,0.53,NA,NA,"17h58m20.06s",269.5835833,"-32d17m43.1s",-32.2953056,3500,NA,NA,NA,"2023-07"
"513","KMT-2022-BLG-1013L b","KMT-2022-BLG-1013L",1,1,"Microlensing",2023,"KMTNet",NA,1.38,NA,98.52681,0.31,"Mass",NA,NA,NA,0,"",NA,NA,0.18,NA,NA,"17h38m50.22s",264.70925,"-28d21m20.41s",-28.3556694,7710,NA,NA,NA,"2023-06"
"514","KOI-12 b","KOI-12",1,2,"Transit",2015,"Kepler",17.8552276,NA,NA,NA,NA,"",NA,NA,NA,1,"",6820,1.63,1.45,0.09,4.34,"19h49m48.90s",297.4537402,"+41d00m39.67s",41.0110188,399.398,-0.014,10.234,11.2535,"2023-03"
"515","KOI-13 b","KOI-13",3,1,"Transit",2011,"Kepler",1.76358762,NA,NA,NA,NA,"",0.00064,NA,NA,1,"",8848,2.44,1.83,NA,3.93,"19h07m53.13s",286.9713876,"+46d52m05.69s",46.8682463,519.096,-0.023,9.425,10.3678,"2023-03"
"516","KOI-2513.01","KOI-2513",1,1,"Transit",2023,"Kepler",19.00547,0.5,0.25,7310.05336,23,"Mass",0.36,NA,NA,0,"",5900,1.2,0.91,-0.37,4.3,"19h34m40.53s",293.6688776,"+46d22m45.24s",46.3792321,1369.87,-0.069,13.367,14.809,"2023-04"
"517","KOI-94 c","KOI-94",2,4,"Transit",2013,"Kepler",10.423671,NA,NA,NA,NA,"",NA,NA,NA,1,"",6182,1.52,1.28,0.023,4.18,"19h49m19.94s",297.3330716,"+41d53m28.03s",41.8911186,477.052,-0.046,10.926,12.1882,"2023-03"
"518","KOI-94 d","KOI-94",2,4,"Transit",2013,"Kepler",22.342972,NA,NA,NA,NA,"",NA,NA,NA,1,"",6182,1.52,1.28,0.023,4.18,"19h49m19.94s",297.3330716,"+41d53m28.03s",41.8911186,477.052,-0.046,10.926,12.1882,"2023-03"
"519","KOI-94 e","KOI-94",2,4,"Transit",2013,"Kepler",54.32002,NA,NA,NA,NA,"",NA,NA,NA,1,"",6182,1.52,1.28,0.023,4.18,"19h49m19.94s",297.3330716,"+41d53m28.03s",41.8911186,477.052,-0.046,10.926,12.1882,"2023-03"
"520","KPS-1 b","KPS-1",1,1,"Transit",2018,"Acton Sky Portal Observatory",1.70632513,NA,NA,NA,NA,"",NA,NA,NA,0,"K1 V",5165,0.91,0.89,0.22,4.47,"11h00m40.13s",165.167198,"+64d57m49.84s",64.9638452,262.706,-0.092,10.931,12.7933,"2023-03"
"521","Kepler-10 b","Kepler-10",1,3,"Transit",2011,"Kepler",0.8374907,0.01685,0.131,3.26,0.01026,"Mass",0,3820,2188,0,"",5708,1.06,0.91,-0.15,NA,"19h02m43.03s",285.679298,"+50d14m29.34s",50.2414842,185.506,-0.023,9.496,10.9191,"2023-04"
"522","Kepler-10 c","Kepler-10",1,3,"Transit",2011,"Kepler",45.294301,0.241,0.21,11.4,0.03587,"Mass",0.13,18.68,578,1,"",5708,1.06,0.91,-0.15,NA,"19h02m43.03s",285.679298,"+50d14m29.34s",50.2414842,185.506,-0.023,9.496,10.9191,"2023-04"
"523","Kepler-10 d","Kepler-10",1,3,"Radial Velocity",2023,"Roque de los Muchachos Observatory",151.04,0.5379,NA,12.68,0.0399,"Msini",0.26,NA,NA,0,"",5708,1.06,0.91,-0.15,NA,"19h02m43.03s",285.679298,"+50d14m29.34s",50.2414842,185.506,-0.023,9.496,10.9191,"2023-04"
"524","Kepler-102 b","Kepler-102",1,5,"Transit",2014,"Kepler",5.286965,0.05521,0.041,1.1,0.00346,"Mass",0.1,90,857,0,"",4909,0.72,0.8,0.11,NA,"18h45m55.79s",281.4824731,"+47d12m28.17s",47.2078263,107.796,-0.027,9.351,11.4784,"2023-04"
"525","Kepler-102 c","Kepler-102",1,5,"Transit",2014,"Kepler",7.071392,0.06702,0.051,1.7,0.00535,"Mass",0.094,61,777,0,"",4909,0.72,0.8,0.11,NA,"18h45m55.79s",281.4824731,"+47d12m28.17s",47.2078263,107.796,-0.027,9.351,11.4784,"2023-04"
"526","Kepler-102 d","Kepler-102",1,5,"Transit",2014,"Kepler",10.311767,0.08618,0.103,3,0.00944,"Mass",0.092,36.9,686,0,"",4909,0.72,0.8,0.11,NA,"18h45m55.79s",281.4824731,"+47d12m28.17s",47.2078263,107.796,-0.027,9.351,11.4784,"2023-04"
"527","Kepler-102 e","Kepler-102",1,5,"Transit",2013,"Kepler",16.1456994,0.1162,0.194,4.7,0.01479,"Mass",0.089,20.3,590,0,"",4909,0.72,0.8,0.11,NA,"18h45m55.79s",281.4824731,"+47d12m28.17s",47.2078263,107.796,-0.027,9.351,11.4784,"2023-04"
"528","Kepler-102 f","Kepler-102",1,5,"Transit",2014,"Kepler",27.453592,0.1656,0.077,4.3,0.01353,"Mass",0.1,10,495,0,"",4909,0.72,0.8,0.11,NA,"18h45m55.79s",281.4824731,"+47d12m28.17s",47.2078263,107.796,-0.027,9.351,11.4784,"2023-04"
"529","Kepler-103 b","Kepler-103",1,2,"Transit",2014,"Kepler",15.9653287,0.13223,0.311,9.8,0.03083,"Mass",0.093,149.9,973,1,"",6009,1.49,1.21,0.16,NA,"19h15m56.29s",288.9845512,"+40d03m52.15s",40.0644857,494.832,-0.024,10.873,12.2466,"2023-04"
"530","Kepler-103 c","Kepler-103",1,2,"Transit",2014,"Kepler",179.60978,0.6639,0.486,38,0.11956,"Mass",0.095,5.95,434,1,"",6009,1.49,1.21,0.16,NA,"19h15m56.29s",288.9845512,"+40d03m52.15s",40.0644857,494.832,-0.024,10.873,12.2466,"2023-04"
"531","Kepler-105 b","Kepler-105",1,2,"Transit",2013,"Kepler",5.412203,NA,NA,NA,NA,"",NA,NA,NA,0,"",6397,1.58,1.28,-0.22,4.15,"19h11m32.94s",287.8872376,"+46d16m34.04s",46.2761224,459.223,-0.092,11.503,12.8025,"2023-03"
"532","Kepler-1052 c","Kepler-1052",1,2,"Transit",2023,"Kepler",180.9259949,NA,0.211,NA,NA,"",NA,NA,NA,0,"",5818,0.85,0.94,-0.22,4.55,"19h41m22.26s",295.34273,"+46d36m07.97s",46.6022134,943.444,-0.092,13.305,14.8614,"2023-05"
"533","Kepler-107 b","Kepler-107",1,4,"Transit",2014,"Kepler",3.1800218,0.04544,0.137,3.8,0.01196,"Mass",0.1,1073,1592,0,"",5854,1.45,1.24,0.321,NA,"19h48m06.76s",297.028162,"+48d12m30.97s",48.2086019,525.997,-0.057,11.06,12.4627,"2023-04"
"534","Kepler-107 c","Kepler-107",1,4,"Transit",2014,"Kepler",4.901452,0.06064,0.142,10,0.03146,"Mass",0.08,602,1378,0,"",5854,1.45,1.24,0.321,NA,"19h48m06.76s",297.028162,"+48d12m30.97s",48.2086019,525.997,-0.057,11.06,12.4627,"2023-04"
"535","Kepler-107 d","Kepler-107",1,4,"Transit",2014,"Kepler",7.95839,0.08377,0.077,7.7,0.02423,"Mass",0.11,315,1173,0,"",5854,1.45,1.24,0.321,NA,"19h48m06.76s",297.028162,"+48d12m30.97s",48.2086019,525.997,-0.057,11.06,12.4627,"2023-04"
"536","Kepler-107 e","Kepler-107",1,4,"Transit",2014,"Kepler",14.749143,0.12638,0.259,14.1,0.04436,"Mass",0.1,138.7,955,0,"",5854,1.45,1.24,0.321,NA,"19h48m06.76s",297.028162,"+48d12m30.97s",48.2086019,525.997,-0.057,11.06,12.4627,"2023-04"
"537","Kepler-109 b","Kepler-109",1,2,"Transit",2014,"Kepler",6.4816307,0.0701,0.222,4.9,0.01542,"Mass",0.11,442,1276,0,"",5950,1.39,1.09,-0.02,NA,"19h21m34.24s",290.3926795,"+40d17m05.67s",40.2849074,474.861,-0.057,11.001,12.2955,"2023-04"
"538","Kepler-109 c","Kepler-109",1,2,"Transit",2014,"Kepler",21.22265,0.1546,0.236,8.2,0.0258,"Mass",0.098,91,859,0,"",5950,1.39,1.09,-0.02,NA,"19h21m34.24s",290.3926795,"+40d17m05.67s",40.2849074,474.861,-0.057,11.001,12.2955,"2023-04"
"539","Kepler-1126 c","Kepler-1126",1,2,"Transit",2023,"Kepler",199.6679993,NA,0.15,NA,NA,"",NA,NA,NA,0,"",5678,0.92,0.79,-0.4,4.41,"19h02m46.07s",285.691955,"+45d41m21.84s",45.6893993,635.736,-0.16,12.534,14.0207,"2023-05"
"540","Kepler-1162 c","Kepler-1162",1,2,"Transit",2023,"Kepler",59.28409958,NA,0.168,NA,NA,"",NA,NA,NA,0,"",5225,0.86,0.86,0.14,4.5,"18h53m10.09s",283.2920273,"+45d26m02.33s",45.4339813,940.211,-0.092,13.753,15.4855,"2023-05"
"541","Kepler-1181 c","Kepler-1181",1,2,"Transit",2023,"Kepler",8.93490982,NA,0.156,NA,NA,"",NA,NA,NA,0,"",6688,1.35,1.34,0.07,4.3,"19h18m59.36s",289.7473165,"+39d31m24.29s",39.5234131,938.417,-0.114,12.363,13.4553,"2023-05"
"542","Kepler-12 b","Kepler-12",1,1,"Transit",2011,"Kepler",4.43796263,NA,NA,NA,NA,"",NA,NA,NA,0,"",5947,1.48,1.17,0.07,4.17,"19h04m58.43s",286.2434458,"+50d02m25.32s",50.0403671,881.386,-0.217,12.066,13.3596,"2023-03"
"543","Kepler-128 b","Kepler-128",1,2,"Transit",2013,"Kepler",15,NA,0.127,3.79,0.01192,"Mass",NA,NA,NA,1,"",6072,1.66,1.18,NA,NA,"18h49m58.14s",282.4922622,"+43d58m48.88s",43.9802442,396.379,-0.018,10.109,11.2886,"2023-01"
"544","Kepler-128 c","Kepler-128",1,2,"Transit",2013,"Kepler",22.8,NA,0.136,3.38,0.01063,"Mass",0.037,NA,NA,1,"",6072,1.66,1.18,NA,NA,"18h49m58.14s",282.4922622,"+43d58m48.88s",43.9802442,396.379,-0.018,10.109,11.2886,"2023-01"
"545","Kepler-1471 c","Kepler-1471",1,2,"Transit",2023,"Kepler",11.60449982,NA,0.2,NA,NA,"",NA,NA,NA,0,"",5533,1.17,0.93,0.16,4.28,"19h18m39.58s",289.6649171,"+50d01m12.22s",50.0200612,978.678,-0.149,13.604,15.246,"2023-05"
"546","Kepler-1487 c","Kepler-1487",1,2,"Transit",2023,"Kepler",35.79949951,NA,0.799,NA,NA,"",NA,NA,NA,0,"",5745,3.96,1.8,0.4,3.5,"19h41m59.54s",295.4980737,"+38d38m40.02s",38.6444499,1014.62,-0.103,12.289,13.4508,"2023-05"
"547","Kepler-1491 c","Kepler-1491",1,2,"Transit",2023,"Kepler",61.5685997,NA,0.279,NA,NA,"",NA,NA,NA,0,"",5626,1.39,0.99,0.14,4.15,"19h34m31.14s",293.6297645,"+45d44m26.27s",45.7406293,2065.59,-0.149,13.949,15.5695,"2023-05"
"548","Kepler-1513 b","Kepler-1513",1,2,"Transit",2016,"Kepler",160.8842,NA,0.767,48.30992,0.152,"Mass",0.306,NA,NA,1,"G V",5491,0.95,0.94,0.17,4.46,"19h19m10.02s",289.7917561,"+39d17m06.96s",39.2852655,349.247,-0.069,11.309,12.9559,"2023-10"
"549","Kepler-1513 c","Kepler-1513",1,2,"Transit Timing Variations",2023,"Multiple Observatories",841.4,NA,NA,84.54236,0.266,"Mass",0.125,NA,NA,1,"G V",5491,0.95,0.94,0.17,4.46,"19h19m10.02s",289.7917561,"+39d17m06.96s",39.2852655,349.247,-0.069,11.309,12.9559,"2023-10"
"550","Kepler-1518 c","Kepler-1518",1,2,"Transit",2023,"Kepler",9.63092995,NA,0.213,NA,NA,"",NA,NA,NA,0,"",6432,1.34,1.06,-0.34,4.21,"20h01m19.76s",300.3323404,"+44d59m09.98s",44.9861065,903.51,-0.08,12.058,13.2803,"2023-05"
"551","Kepler-1610 c","Kepler-1610",1,2,"Transit",2023,"Kepler",44.98529816,NA,0.197,NA,NA,"",NA,NA,NA,0,"",5295,0.8,0.82,-0.1,4.55,"19h43m37.20s",295.9049795,"+45d24m19.55s",45.4054296,864.331,-0.103,13.905,15.8137,"2023-05"
"552","Kepler-164 e","Kepler-164",1,4,"Transit",2023,"Kepler",94.8864975,NA,0.357,NA,NA,"",NA,NA,NA,0,"",5888,1.1,0.97,-0.1,4.34,"19h11m07.39s",287.7808115,"+47d37m47.44s",47.6298453,890.758,-0.08,12.935,14.2329,"2023-05"
"553","Kepler-1655 b","Kepler-1655",1,1,"Transit",2018,"Kepler",11.8728787,0.1029,0.197,5.4,0.01699,"Mass",0.19,129.1,938,0,"",6148,1.03,1.03,-0.24,NA,"19h06m45.50s",286.6895986,"+39d12m43.49s",39.2120802,213.26,-0.01,9.785,11.0141,"2023-04"
"554","Kepler-1660 AB b","Kepler-1660 A",2,1,"Eclipse Timing Variations",2023,"Kepler",239.5044,NA,NA,1586.59941,4.992,"Mass",0.05541,NA,NA,0,"",NA,1.49,1.14,NA,NA,"19h22m12.47s",290.5519537,"+40d14m06.16s",40.2350445,1188.54,-0.103,12.215,13.4394,"2023-11"
"555","Kepler-1669 d","Kepler-1669",1,3,"Transit",2023,"Kepler",4.72946978,NA,0.143,NA,NA,"",NA,NA,NA,0,"",4224,0.6,0.61,-0.2,4.66,"19h49m43.29s",297.4303826,"+39d50m52.37s",39.8478795,543.444,-0.343,13.2,15.9088,"2023-05"
"556","Kepler-176 c","Kepler-176",1,4,"Transit",2014,"Kepler",12.76,NA,0.203,NA,NA,"",NA,NA,NA,1,"",5139.2,0.8,0.85,NA,NA,"19h38m40.30s",294.6679021,"+43d51m11.56s",43.8532104,527.321,-0.126,12.567,14.5446,"2023-01"
"557","Kepler-176 d","Kepler-176",1,4,"Transit",2014,"Kepler",25.75,NA,0.21,NA,NA,"",NA,NA,NA,1,"",5139.2,0.8,0.85,NA,NA,"19h38m40.30s",294.6679021,"+43d51m11.56s",43.8532104,527.321,-0.126,12.567,14.5446,"2023-01"
"558","Kepler-18 d","Kepler-18",1,3,"Transit",2011,"Kepler",14.8589223,NA,NA,NA,NA,"",NA,NA,NA,1,"",5345,1.11,0.97,0.19,4.31,"19h52m19.07s",298.0794448,"+44d44m46.49s",44.746248,433.047,-0.069,11.756,13.5393,"2023-03"
"559","Kepler-1801 c","Kepler-1801",1,2,"Transit",2023,"Kepler",116.5849991,NA,0.362,NA,NA,"",NA,NA,NA,0,"",5738,0.98,0.94,-0.06,4.43,"19h40m39.36s",295.1640095,"+39d12m05.05s",39.2014024,839.332,-0.046,13.405,15.0715,"2023-05"
"560","Kepler-1814 c","Kepler-1814",1,2,"Transit",2023,"Kepler",0.62628198,NA,0.148,NA,NA,"",NA,NA,NA,0,"",4922,0.82,0.79,0.2,4.5,"19h00m52.00s",285.2166767,"+41d16m56.80s",41.2824449,726.346,-0.332,13.393,15.607,"2023-05"
"561","Kepler-1834 c","Kepler-1834",1,2,"Transit",2023,"Kepler",0.76669198,NA,0.13,NA,NA,"",NA,NA,NA,0,"",4821,0.79,0.77,0.16,4.53,"19h38m39.52s",294.6646789,"+39d47m01.85s",39.7838461,500.395,-0.08,12.722,14.9047,"2023-05"
"562","Kepler-1859 c","Kepler-1859",1,2,"Transit",2023,"Kepler",3.59643006,NA,0.153,NA,NA,"",NA,NA,NA,0,"",5887,1.24,1.09,0.16,4.29,"19h35m57.28s",293.9886751,"+46d43m04.80s",46.7179996,1331.25,-0.126,13.714,15.1088,"2023-05"
"563","Kepler-1869 c","Kepler-1869",1,2,"Transit",2023,"Kepler",1.71684003,NA,0.074,NA,NA,"",NA,NA,NA,0,"",5808,0.9,0.99,-0.06,4.52,"19h30m27.60s",292.6149958,"+42d45m51.64s",42.7643438,113.025,-0.005,8.693,10.0911,"2023-05"
"564","Kepler-1876 b","Kepler-1876",1,1,"Transit",2021,"Kepler",6.99205,0.0758,0.076,2.4,0.00755,"Mass",0.098,475,1299,0,"",6104,1.48,1.19,0.01,NA,"19h56m38.52s",299.1604859,"+41d08m37.67s",41.1437964,259.935,-0.007,9.472,10.7582,"2023-04"
"565","Kepler-1894 c","Kepler-1894",1,2,"Transit",2023,"Kepler",5.05375004,NA,0.142,NA,NA,"",NA,NA,NA,0,"",5772,0.9,1,0,4.53,"19h42m20.75s",295.5864604,"+49d40m00.67s",49.6668523,935.191,-0.092,13.648,15.3627,"2023-05"
"566","Kepler-19 b","Kepler-19",1,3,"Transit",2011,"Kepler",9.28699,0.0846,0.197,6.1,0.01919,"Mass",0.41,87.6,851,1,"",5541,0.86,0.94,-0.13,NA,"19h21m41.03s",290.4209694,"+37d51m05.96s",37.8516556,218.562,-0.026,10.318,11.8763,"2023-04"
"567","Kepler-1921 c","Kepler-1921",1,2,"Transit",2023,"Kepler",3.15721989,NA,0.151,NA,NA,"",NA,NA,NA,0,"",6120,2,1.25,0.02,3.93,"20h01m15.88s",300.3161723,"+45d29m43.18s",45.4953271,928.989,-0.069,11.514,12.9842,"2023-05"
"568","Kepler-1976 b","Kepler-1976",1,1,"Transit Timing Variations",2023,"Kepler",4.96,NA,1.043,NA,NA,"",NA,NA,NA,1,"",NA,NA,NA,NA,NA,"19h28m40.09s",292.16706,"+48d43m39.12s",48.7275345,1314.51,-0.32,13.805,15.258,"2023-02"
"569","Kepler-1977 b","Kepler-1977",1,1,"Transit",2023,"Kepler",4.53700018,NA,0.163,NA,NA,"",NA,NA,NA,0,"",4805,0.69,0.77,-0.06,4.63,"19h22m28.29s",290.6178587,"+37d17m20.76s",37.2891002,592.711,-0.126,13.358,15.654,"2023-05"
"570","Kepler-1978 b","Kepler-1978",1,1,"Transit",2023,"Kepler",10.84969997,NA,0.268,NA,NA,"",NA,NA,NA,0,"",5251,0.78,0.87,-0.04,4.59,"19h04m01.62s",286.0067312,"+38d00m34.35s",38.0095407,865.512,-0.057,13.44,15.3665,"2023-05"
"571","Kepler-1979 b","Kepler-1979",1,1,"Transit",2023,"Kepler",18.50849915,NA,0.386,NA,NA,"",NA,NA,NA,0,"",5942,0.94,1.03,-0.06,4.51,"19h19m22.30s",289.8429062,"+38d18m34.64s",38.309622,1076.27,-0.15,13.611,15.2323,"2023-05"
"572","Kepler-1980 b","Kepler-1980",1,1,"Transit",2023,"Kepler",33.0257988,NA,0.254,NA,NA,"",NA,NA,NA,0,"",5819,0.99,1.05,0.14,4.47,"19h40m40.13s",295.1672065,"+38d38m13.34s",38.637039,1709.4,-0.092,13.81,15.5691,"2023-05"
"573","Kepler-1981 b","Kepler-1981",1,1,"Transit",2023,"Kepler",453.5429993,NA,0.84,NA,NA,"",NA,NA,NA,0,"",5874,3.01,1.52,0.12,3.66,"19h11m54.11s",287.9754691,"+38d44m25.08s",38.7402988,659.395,-0.114,11.951,13.3811,"2023-05"
"574","Kepler-1982 b","Kepler-1982",1,1,"Transit",2023,"Kepler",3.82315993,NA,0.077,NA,NA,"",NA,NA,NA,0,"",6202,1.12,1.21,0.21,4.42,"19h09m38.40s",287.4099905,"+39d39m31.06s",39.6586267,558.855,-0.069,11.473,12.6166,"2023-05"
"575","Kepler-1983 b","Kepler-1983",1,1,"Transit",2023,"Kepler",7.32851982,NA,0.147,NA,NA,"",NA,NA,NA,0,"",5135,0.87,0.81,0.12,4.46,"19h48m10.08s",297.042015,"+39d54m43.87s",39.9121864,424.428,-0.069,12.232,14.3031,"2023-05"
"576","Kepler-1984 b","Kepler-1984",1,1,"Transit",2023,"Kepler",1.99285996,NA,0.072,NA,NA,"",NA,NA,NA,0,"",3638,0.42,0.45,-0.14,4.84,"19h25m08.41s",291.2850446,"+40d43m48.08s",40.7300225,NA,-1.133,12.58,15.8683,"2023-05"
"577","Kepler-1985 b","Kepler-1985",1,1,"Transit",2023,"Kepler",3.42065001,NA,0.198,NA,NA,"",NA,NA,NA,0,"",5370,0.97,0.88,0.14,4.41,"19h34m15.93s",293.5663715,"+42d07m57.30s",42.1325825,NA,-0.206,13.556,15.7053,"2023-05"
"578","Kepler-1986 b","Kepler-1986",1,1,"Transit",2023,"Kepler",19.54929924,NA,0.263,NA,NA,"",NA,NA,NA,0,"",5549,0.73,0.78,-0.54,4.6,"19h31m49.99s",292.9582727,"+42d51m17.61s",42.8548909,912.085,-0.195,13.908,15.718,"2023-05"
"579","Kepler-1987 b","Kepler-1987",1,4,"Transit",2023,"Kepler",2.34586,NA,0.135,NA,NA,"",NA,NA,NA,0,"",4769,0.71,0.8,0.12,4.62,"19h43m18.11s",295.8254663,"+42d56m36.14s",42.9433716,595.683,-0.389,13.154,15.505,"2023-05"
"580","Kepler-1987 c","Kepler-1987",1,4,"Transit",2023,"Kepler",3.64826989,NA,0.151,NA,NA,"",NA,NA,NA,0,"",4769,0.71,0.8,0.12,4.62,"19h43m18.11s",295.8254663,"+42d56m36.14s",42.9433716,595.683,-0.389,13.154,15.505,"2023-05"
"581","Kepler-1987 d","Kepler-1987",1,4,"Transit",2023,"Kepler",5.64488983,NA,0.291,NA,NA,"",NA,NA,NA,0,"",4769,0.71,0.8,0.12,4.62,"19h43m18.11s",295.8254663,"+42d56m36.14s",42.9433716,595.683,-0.389,13.154,15.505,"2023-05"
"582","Kepler-1987 e","Kepler-1987",1,4,"Transit",2023,"Kepler",8.74297047,NA,0.219,NA,NA,"",NA,NA,NA,0,"",4769,0.71,0.8,0.12,4.62,"19h43m18.11s",295.8254663,"+42d56m36.14s",42.9433716,595.683,-0.389,13.154,15.505,"2023-05"
"583","Kepler-1988 b","Kepler-1988",1,1,"Transit",2023,"Kepler",11.49499989,NA,0.138,NA,NA,"",NA,NA,NA,0,"",6033,1.79,1.13,-0.1,3.98,"19h54m41.71s",298.6738034,"+43d47m43.84s",43.7955099,513.426,-0.057,10.521,12.1213,"2023-05"
"584","Kepler-1989 b","Kepler-1989",1,1,"Transit",2023,"Kepler",10.16100025,NA,0.425,NA,NA,"",NA,NA,NA,0,"",6032,1.06,1,-0.14,4.39,"19h22m56.44s",290.7351869,"+44d05m28.54s",44.091262,1252.13,-0.481,13.193,14.6131,"2023-05"
"585","Kepler-1990 b","Kepler-1990",1,2,"Transit",2023,"Kepler",1.73512995,NA,0.349,NA,NA,"",NA,NA,NA,0,"",5751,1.07,1.03,0.21,4.39,"19h58m49.14s",299.7047433,"+44d26m08.54s",44.4357068,392.739,-0.052,11.055,12.5829,"2023-05"
"586","Kepler-1990 c","Kepler-1990",1,2,"Transit",2023,"Kepler",4.06842995,NA,0.106,NA,NA,"",NA,NA,NA,0,"",5751,1.07,1.03,0.21,4.39,"19h58m49.14s",299.7047433,"+44d26m08.54s",44.4357068,392.739,-0.052,11.055,12.5829,"2023-05"
"587","Kepler-1991 b","Kepler-1991",1,2,"Transit",2023,"Kepler",13.26080036,NA,0.165,NA,NA,"",NA,NA,NA,0,"",5478,1.05,0.91,0.16,4.35,"19h00m08.65s",285.0360506,"+45d04m15.57s",45.0709909,855.82,-0.16,13.067,14.7212,"2023-05"
"588","Kepler-1991 c","Kepler-1991",1,2,"Transit",2023,"Kepler",22.79019928,NA,0.259,NA,NA,"",NA,NA,NA,0,"",5478,1.05,0.91,0.16,4.35,"19h00m08.65s",285.0360506,"+45d04m15.57s",45.0709909,855.82,-0.16,13.067,14.7212,"2023-05"
"589","Kepler-1992 b","Kepler-1992",1,1,"Transit",2023,"Kepler",15.61120033,NA,0.092,NA,NA,"",NA,NA,NA,0,"",5383,0.84,0.87,0,4.53,"19h40m21.66s",295.0902409,"+45d04m51.98s",45.0811045,532.955,-0.114,11.767,13.554,"2023-05"
"590","Kepler-1993 b","Kepler-1993",1,1,"Transit",2023,"Kepler",26.65660095,NA,0.395,NA,NA,"",NA,NA,NA,0,"",5159,3.06,1.37,-0.04,3.6,"19h35m11.25s",293.7968548,"+45d09m38.61s",45.1607261,1031.91,-0.114,11.136,13.2589,"2023-05"
"591","Kepler-1994 b","Kepler-1994",1,1,"Transit",2023,"Kepler",4.61231995,NA,0.056,NA,NA,"",NA,NA,NA,0,"",5495,0.96,0.93,0.16,4.44,"19h48m35.71s",297.1487941,"+46d17m48.93s",46.2969247,241.991,-0.028,10.185,11.8227,"2023-05"
"592","Kepler-1995 b","Kepler-1995",1,1,"Transit",2023,"Kepler",73.75779724,NA,0.412,NA,NA,"",NA,NA,NA,0,"",5029,0.93,0.85,0.48,4.43,"18h57m22.25s",284.342725,"+46d18m59.73s",46.3165907,595.331,-0.195,13.016,15.1988,"2023-05"
"593","Kepler-1996 b","Kepler-1996",1,2,"Transit",2023,"Kepler",32.37609863,NA,0.205,NA,NA,"",NA,NA,NA,0,"",4580,0.68,0.75,0.08,4.64,"19h01m00.90s",285.2537555,"+46d34m55.99s",46.5822183,440.561,-0.114,12.53,14.8656,"2023-05"
"594","Kepler-1996 c","Kepler-1996",1,2,"Transit",2023,"Kepler",92.72949982,NA,0.251,NA,NA,"",NA,NA,NA,0,"",4580,0.68,0.75,0.08,4.64,"19h01m00.90s",285.2537555,"+46d34m55.99s",46.5822183,440.561,-0.114,12.53,14.8656,"2023-05"
"595","Kepler-1997 b","Kepler-1997",1,1,"Transit",2023,"Kepler",26.75749969,NA,0.218,NA,NA,"",NA,NA,NA,0,"",6215,1.05,1.11,-0.06,4.44,"19h49m55.40s",297.4808253,"+46d35m20.89s",46.5891373,1502.34,-0.149,13.885,15.4636,"2023-05"
"596","Kepler-1998 b","Kepler-1998",1,1,"Transit",2023,"Kepler",3.03263998,NA,0.062,NA,NA,"",NA,NA,NA,0,"",5640,0.92,0.96,0.06,4.49,"18h53m43.00s",283.4291536,"+47d35m32.63s",47.5923973,340.965,-0.08,11.076,12.6024,"2023-05"
"597","Kepler-1999 b","Kepler-1999",1,1,"Transit",2023,"Kepler",8.73945046,NA,0.317,NA,NA,"",NA,NA,NA,0,"",4406,0.63,0.63,-0.24,4.64,"18h49m28.94s",282.3705675,"+48d15m33.24s",48.259234,701.255,-1.133,13.882,16.319,"2023-05"
